도서관명,시도명,시군구명,도서관유형,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수
글마루한옥어린이도서관,서울특별시,구로구,공공도서관,10:00,19:00,80,24571,8,312,3,14
구로초주민전용도서관,서울특별시,구로구,공공도서관,9:00,22:00,82,24581,13,0,3,14
정산도서관,충청남도,청양군,공공도서관,9:00,21:00,191,24786,19,771,24786,14
영산도서관,경상남도,창녕군,공공도서관,9:00,22:00,133,24799,28,2417,3,14
하늘도서관,서울특별시,구로구,공공도서관,8:00,22:00,100,25409,14,0,3,14
레인보우영동도서관,충청북도,영동군,공공도서관,9:00,22:00,200,26050,65,1272,3,10
달성군청도서관,대구광역시,달성군,작은도서관,09:00,21:00,72,26337,4,3,5,15
개봉어린이도서관,서울특별시,구로구,공공도서관,10:00,19:00,110,28887,16,513,3,14
정관어린이도서관,부산광역시,기장군,공공도서관,9:00,22:00,90,29100,24,365,5,14
판암도서관,대전광역시,동구,공공도서관,9:00,18:00,80,29151,6,1155,5,14
은천동작은도서관,서울특별시,관악구,공공도서관,9:00,18:00,85,29920,48,1215,5,14
나눔도서관,대구광역시,남구,작은도서관,9:00,18:00,15,3000,0,0,0,0
화순작은도서관,전라남도,화순군,작은도서관,13:00,18:00,10,3000,3,0,3,14
봉안동 새마을문고,경상남도,진주시,작은도서관,9:00,18:00,16,3000,0,0,3,14
상대1동 새마을문고(현대분소),경상남도,진주시,작은도서관,13:00,17:00,45,3000,0,0,0,0
묵정마을문고,충청북도,영동군,작은도서관,9:00,18:00,10,3000,0,0,2,7
학산면청소년공부방,충청북도,영동군,작은도서관,9:00,18:00,24,3000,0,0,2,7
신암3동작은도서관,대구광역시,동구,작은도서관,09:00,18:00,22,3072,9,0,5,15
꿈나무영어도서관,대구광역시,남구,작은도서관,10:00,15:00,27,3200,0,0,1,7
자이 새마을 작은도서관,경상남도,진주시,작은도서관,10:00,12:00,42,3200,0,0,2,7
무장글샘작은도서관,전라북도,고창군,작은도서관,10:00,18:00,10,3250,0,0,5,14
늘푸른작은도서관,전라남도,화순군,작은도서관,10:00,17:00,20,3282,2,0,3,14
중앙동 새싹작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,40,3370,0,35,5,14
동촌역사 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,30,3404,9,0,5,15
하대1동 새마을작은도서관,경상남도,진주시,작은도서관,9:00,18:00,16,3450,0,0,3,14
범서작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,16,3468,0,0,3,14
하곡인문도서관,경상남도,진주시,작은도서관,10:00,19:00,30,3500,0,0,0,0
빛나라도서관,전라남도,화순군,작은도서관,9:00,18:00,22,3600,34,0,3,14
다사랑작은도서관,전라남도,화순군,작은도서관,8:00,18:00,30,3617,3,0,3,14
주약현대아파트 마을도서관 다락,경상남도,진주시,작은도서관,11:00,15:00,40,3656,1,0,3,7
대산큰별작은도서관,전라북도,고창군,작은도서관,10:00,18:00,8,3674,0,0,5,14
도림천에서 용나는 작은도서관,서울특별시,관악구,구립작은도서관,9:00,20:00,10,3690,0,0,5,14
대학동 녹두작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,3756,0,0,5,14
초록에뜰 작은도서관,경상남도,진주시,작은도서관,14:00,17:00,25,3800,2,0,0,0
남일작은도서관,충청남도,금산군,작은도서관,13:00,21:00,20,3943,2,0,10,14
여의디지털도서관,서울특별시,영등포구,공공도서관,8:00,20:00,80,3945,8,7345,3,14
홍도도서관,대전광역시,동구,공공도서관,9:00,18:00,100,30364,8,279,5,14
고창군립성호도서관,전라북도,고창군,공공도서관,9:00,23:00,159,30607,8,123,5,14
꿈마을도서관,서울특별시,구로구,공공도서관,8:00,22:00,114,31709,11,0,3,14
자양도서관,대전광역시,동구,공공도서관,9:00,18:00,140,32536,11,390,5,14
목포공공도서관,전라남도,목포시,공공,07:00,22:00,1,600,320463,163,48802,10,15
추부도서관,충청남도,금산군,공공도서관,9:00,22:00,200,34576,16,538,10,14
성남도서관,대전광역시,동구,공공도서관,9:00,18:00,120,35891,9,0,5,14
옥련2동어린이작은도서관,인천광역시,연수구,작은도서관,10:00,18:00,100,36602,10,0,5,15
달성군립도서관,대구광역시,달성군,공공도서관,09:00,20:00,202,38938,83,1031,5,14
청도어린이도서관,경상북도,청도군,어린이도서관,9:00,18:00,100,39594,32,1040,39594,14
꿈아루 도서관,경상남도,진주시,작은도서관,10:00,17:00,25,4000,0,0,0,0
평거휴먼시아 4단지 문고 온새미로,경상남도,진주시,작은도서관,11:00,17:00,25,4000,0,0,3,7
상월주민자치도서관,충청남도,논산시,작은도서관,09:00,18:00,44,4000,0,0,5,15
해안동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,30,4011,9,0,5,15
불로어울림 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,35,4071,10,0,5,15
느티나무작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,12,4157,0,0,3,14
상대2동 새마을 작은도서관,경상남도,진주시,작은도서관,9:00,18:00,8,4200,0,0,3,14
효목2동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,45,4244,8,0,5,15
동구문화센터작은도서관,광주광역시,동구,공공도서관,9:00,17:00,20,4275,0,0,5,15
도평동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,30,4451,9,0,5,15
동일스위트 혜윰 작은도서관,경상남도,진주시,작은도서관,19:00,21:00,30,4500,0,0,3,21
상봉동 새마을 작은도서관,경상남도,진주시,작은도서관,10:00,13:00,25,4500,0,0,3,7
상평동 새마을 작은도서관,경상남도,진주시,작은도서관,10:00,16:00,24,4500,0,0,3,14
이천행복작은도서관,대구광역시,남구,작은도서관,9:00,16:00,14,4574,0,0,8,7
가좌3 주공 작은 도서관,경상남도,진주시,작은도서관,11:00,13:00,30,4650,0,0,3,7
낙성대공원도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,10,4752,0,79,5,14
꿈나무 영유아도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,50,4810,0,0,5,14
행운동 마루작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,4824,0,11,5,14
군북작은도서관,충청남도,금산군,작은도서관,13:00,21:00,20,4952,2,0,10,14
관악산 詩도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,14,4976,0,39,5,14
성현동작은도서관,서울특별시,관악구,공공도서관,9:00,18:00,59,40218,43,1874,5,14
조원작은도서관,서울특별시,관악구,공공도서관,9:00,18:00,170,41034,51,4423,5,14
화순열린도서관,전라남도,화순군,공공도서관,9:00,22:00,300,42184,17,807,5,14
고창군립도서관,전라북도,고창군,공공도서관,9:00,22:00,158,47793,8,710,5,14
문래정보문화도서관,서울특별시,영등포구,공공도서관,7:00,22:00,175,48730,72,2302,3,14
